TIME;AMS CCS811 - TVOC;Envirnoment eCO2;BH1730FVC - Light;Battery SCK;ICS43432 - Noise;SHT31 - Temperature; Exaust eCO2
17:25:00;503.0;3702.0;254.0;-1.0;65.0;10.35;411.0
17:26:00;503.0;3702.0;262.0;-1.0;65.93;10.36;788.8
17:27:00;499.0;3681.0;260.0;-1.0;66.81;10.39;959.2
17:28:00;503.0;3702.0;245.0;-1.0;66.55;10.43;910.0
17:29:00;503.0;3702.0;228.0;-1.0;66.18;10.47;964.5
17:30:00;503.0;3702.0;222.0;-1.0;69.99;10.43;1434.6
17:31:00;503.0;3702.0;208.0;-1.0;72.41;10.4;3147.5
17:32:00;503.0;3702.0;193.0;-1.0;70.33;10.36;5615.7
17:33:00;503.0;3702.0;185.0;-1.0;68.08;10.36;5887.0
17:34:00;503.0;3702.0;176.0;-1.0;61.6;10.34;5716.0
17:35:00;503.0;3702.0;167.0;-1.0;62.13;10.32;5664.0
17:36:00;503.0;3702.0;168.0;-1.0;67.08;10.35;5572.8
17:37:00;503.0;3702.0;164.0;-1.0;66.78;10.34;6607.4
17:38:00;503.0;3702.0;160.0;-1.0;66.37;10.39;5784.4
17:39:00;503.0;3702.0;154.0;-1.0;75.54;10.4;3543.0
17:40:00;503.0;3702.0;144.0;-1.0;66.42;10.38;2927.5
17:41:00;499.0;3681.0;135.0;-1.0;64.35;10.4;2460.1
17:42:00;499.0;3681.0;129.0;-1.0;67.01;10.4;2269.0
17:43:00;499.0;3681.0;124.0;-1.0;71.62;10.38;2132.0
17:44:00;499.0;3681.0;119.0;-1.0;68.71;10.38;1962.0
17:45:00;499.0;3681.0;111.0;-1.0;72.12;10.39;1884.0
17:46:00;499.0;3681.0;99.0;-1.0;68.79;10.32;1815.5
17:47:00;499.0;3681.0;91.0;-1.0;67.03;10.28;1740.7
17:48:00;499.0;3681.0;90.0;-1.0;64.71;10.26;1688.7
17:49:00;499.0;3681.0;85.0;-1.0;60.48;10.22;1656.0
